 case_id,Code,group,infection_case,confirmed,latitude,longitude
2000017,,TRUE,Wangsung Church,6,-,-
2000018,,TRUE,Seoul City Hall Station safety worker,5,-,-
2000019,20120,TRUE,Seongnam neighbors gathering,5,-,-
2000020,,FALSE,overseas inflow,305,-,-
2000021,,FALSE,contact with patient,63,-,-
2000022,,FALSE,etc,84,-,-
3000001,,TRUE,Shincheonji Church,17,-,-
3000002,,TRUE,Uijeongbu St. Mary’s Hospital,10,-,-
3000003,30090,TRUE,Wonju-si Apartments,4,37.342762,127.983815
3000004,,TRUE,Richway,4,-,-
3000005,,TRUE,Geumcheon-gu rice milling machine manufacture,4,-,-
3000006,,FALSE,overseas inflow,16,-,-
3000007,,FALSE,contact with patient,0,-,-
3000008,,FALSE,etc,7,-,-
4000001,40010,TRUE,Goesan-gun Jangyeon-myeon,11,36.82422,127.9552
4000002,,TRUE,Itaewon Clubs,9,-,-
4000003,,TRUE,Guro-gu Call Center,2,-,-
4000004,,TRUE,Shincheonji Church,6,-,-
4000005,,FALSE,overseas inflow,13,-,-
4000006,,FALSE,contact with patient,8,-,-
4000007,,FALSE,etc,11,-,-
4100001,41120,TRUE,gym facility in Cheonan,103,36.81503,127.1139
4100002,,TRUE,Door-to-door sales in Daejeon,10,-,-
4100003,41080,TRUE,Seosan-si Laboratory,9,37.000354,126.354443
4100004,,TRUE,Richway,3,-,-
4100005,,TRUE,Eunpyeong-Boksagol culture center,3,-,-
4100006,,FALSE,overseas inflow,16,-,-
4100007,,FALSE,contact with patient,2,-,-
4100008,,FALSE,etc,12,-,-
5000001,,TRUE,Itaewon Clubs,2,-,-
5000002,,TRUE,Door-to-door sales in Daejeon,3,-,-
5000003,,TRUE,Shincheonji Church,1,-,-
5000004,,FALSE,overseas inflow,12,-,-
5000005,,FALSE,etc,5,-,-
5100001,51090,TRUE,Manmin Central Church,2,35.078825,126.316746
5100002,,TRUE,Shincheonji Church,1,-,-
5100003,,FALSE,overseas inflow,14,-,-
5100004,,FALSE,contact with patient,4,-,-
5100005,,FALSE,etc,4,-,-
6000001,,TRUE,Shincheonji Church,566,-,-
6000002,60200,TRUE,Cheongdo Daenam Hospital,119,35.64887,128.7368
6000003,60080,TRUE,Bonghwa Pureun Nursing Home,68,36.92757,128.9099
6000004,60010,TRUE,Gyeongsan Seorin Nursing Home,66,35.782149,128.801498
6000005,,TRUE,Pilgrimage to Israel,41,-,-
6000006,,TRUE,Yechun-gun,40,36.646845,128.437416
6000007,60220,TRUE,Milal Shelter,36,36.0581,128.4941
6000008,60010,TRUE,Gyeongsan Jeil Silver Town,17,35.84819,128.7621
6000009,60010,TRUE,Gyeongsan Cham Joeun Community Center,16,35.82558,128.7373
6000010,60040,TRUE,Gumi Elim Church,10,-,-
6000011,,FALSE,overseas inflow,22,-,-
